,rank,precision,generator_name,base
0,7,1.0714793385272132,12_1,1.01
1,12,1.1245867989056988,12_1,1.01
2,17,1.1792505563645164,12_1,1.01
3,22,1.235659640361981,12_1,1.01
4,27,1.2939334824566149,12_1,1.01
5,32,1.3535113372119476,12_1,1.01
6,37,1.414905709228478,12_1,1.01
7,42,1.4770328602615017,12_1,1.01
8,7,1.0714975362878028,6_2,1.01
9,12,1.1243328371172003,6_2,1.01
10,17,1.1791557217977897,6_2,1.01
11,22,1.235413134754303,6_2,1.01
12,27,1.293320122232603,6_2,1.01
13,32,1.3532717188894403,6_2,1.01
14,37,1.4143541419313799,6_2,1.01
15,42,1.4776806440056807,6_2,1.01
16,7,1.0728666795195159,4_3,1.01
17,12,1.126936761248071,4_3,1.01
18,17,1.1821699825705214,4_3,1.01
19,22,1.2392797308924173,4_3,1.01
20,27,1.2980225535564007,4_3,1.01
21,32,1.3579423838707807,4_3,1.01
22,37,1.4190058065321618,4_3,1.01
23,42,1.48159127849148,4_3,1.01
24,7,1.072093402002697,3_4,1.01
25,12,1.125493456331174,3_4,1.01
26,17,1.180468877907545,3_4,1.01
27,22,1.2370651317468677,3_4,1.01
28,27,1.2954017619586313,3_4,1.01
29,32,1.3549541750836556,3_4,1.01
30,37,1.4162721289495508,3_4,1.01
31,42,1.4785133070750507,3_4,1.01
32,7,1.0722682484277357,2_6,1.01
33,12,1.125975052431462,2_6,1.01
34,17,1.1814582637873963,2_6,1.01
35,22,1.2377819021634118,2_6,1.01
36,27,1.2965759378195214,2_6,1.01
37,32,1.3565672556626087,2_6,1.01
38,37,1.4178896723163634,2_6,1.01
39,42,1.480438542941895,2_6,1.01
40,7,1.0726137675527845,1_12,1.01
41,12,1.1266928689941502,1_12,1.01
42,17,1.182283677223017,1_12,1.01
43,22,1.2388424853639788,1_12,1.01
44,27,1.2973800586323692,1_12,1.01
45,32,1.3571720085989205,1_12,1.01
46,37,1.419143347091136,1_12,1.01
47,42,1.4810018738773982,1_12,1.01
48,7,1.387891221289016,12_1,1.05
49,12,1.7124110780562185,12_1,1.05
50,17,2.072735206011148,12_1,1.05
51,22,2.4706244754878965,12_1,1.05
52,27,2.8916510777749505,12_1,1.05
53,32,3.342078791663191,12_1,1.05
54,37,3.807892258035674,12_1,1.05
55,42,4.274726141893445,12_1,1.05
56,7,1.3874835303346404,6_2,1.05
57,12,1.7130777910637258,6_2,1.05
58,17,2.0728085023751053,6_2,1.05
59,22,2.463345467187506,6_2,1.05
60,27,2.8877292937385457,6_2,1.05
61,32,3.337148259966553,6_2,1.05
62,37,3.799973467182349,6_2,1.05
63,42,4.281490364278423,6_2,1.05
64,7,1.4084868638666954,4_3,1.05
65,12,1.7583855411638079,4_3,1.05
66,17,2.1438062455193583,4_3,1.05
67,22,2.5697296591673977,4_3,1.05
68,27,3.0265876803584133,4_3,1.05
69,32,3.4888827015274284,4_3,1.05
70,37,3.9847338960076457,4_3,1.05
71,42,4.454424503062708,4_3,1.05
72,7,1.4006380162938752,3_4,1.05
73,12,1.7370529194751547,3_4,1.05
74,17,2.1066636836036485,3_4,1.05
75,22,2.51327058886535,3_4,1.05
76,27,2.94876648651964,3_4,1.05
77,32,3.4071393772646976,3_4,1.05
78,37,3.8818262034829965,3_4,1.05
79,42,4.345291402978783,3_4,1.05
80,7,1.4026003980645287,2_6,1.05
81,12,1.7441769651155405,2_6,1.05
82,17,2.126380658069422,2_6,1.05
83,22,2.5397136649761403,2_6,1.05
84,27,2.9838876420388845,2_6,1.05
85,32,3.4484664370651847,2_6,1.05
86,37,3.928551323156824,2_6,1.05
87,42,4.405273116032602,2_6,1.05
88,7,1.404436909976947,1_12,1.05
89,12,1.751008635171963,1_12,1.05
90,17,2.139682673513744,1_12,1.05
91,22,2.5619865641673303,1_12,1.05
92,27,3.0150969999091886,1_12,1.05
93,32,3.482456947991939,1_12,1.05
94,37,3.9775240037291497,1_12,1.05
95,42,4.449013819460677,1_12,1.05
96,7,2.717661332557045,12_1,1.18
97,12,4.398917479347063,12_1,1.18
98,17,6.244623002327445,12_1,1.18
99,22,8.187911415090502,12_1,1.18
100,27,10.105310966519584,12_1,1.18
101,32,11.975237366174737,12_1,1.18
102,37,14.024189590103678,12_1,1.18
103,42,15.993037419290975,12_1,1.18
104,7,2.720186187876658,6_2,1.18
105,12,4.424931892418497,6_2,1.18
106,17,6.253806782595111,6_2,1.18
107,22,8.126681956879585,6_2,1.18
108,27,9.967133788782219,6_2,1.18
109,32,12.07488655774025,6_2,1.18
110,37,13.885243172587412,6_2,1.18
111,42,15.922457629027802,6_2,1.18
112,7,2.7578093559385124,4_3,1.18
113,12,4.679705104353041,4_3,1.18
114,17,6.925333818098021,4_3,1.18
115,22,9.042263728664585,4_3,1.18
116,27,11.042447461903972,4_3,1.18
117,32,13.242353150559092,4_3,1.18
118,37,15.566445257656085,4_3,1.18
119,42,17.007768140794873,4_3,1.18
120,7,2.8195339201593144,3_4,1.18
121,12,4.635334423671966,3_4,1.18
122,17,6.529256042574957,3_4,1.18
123,22,8.622436494688253,3_4,1.18
124,27,10.548516395807871,3_4,1.18
125,32,12.59775711922293,3_4,1.18
126,37,14.66040883040541,3_4,1.18
127,42,16.441860119217225,3_4,1.18
128,7,2.7803550646887505,2_6,1.18
129,12,4.616937939856516,2_6,1.18
130,17,6.7785344676361605,2_6,1.18
131,22,8.86150201222366,2_6,1.18
132,27,10.784619333779624,2_6,1.18
133,32,12.972716692588463,2_6,1.18
134,37,14.97812107694284,2_6,1.18
135,42,16.99490691562216,2_6,1.18
136,7,2.7923490219650495,1_12,1.18
137,12,4.646398998212561,1_12,1.18
138,17,6.711091748091281,1_12,1.18
139,22,8.765192572686422,1_12,1.18
140,27,10.967807346765133,1_12,1.18
141,32,13.290100291526327,1_12,1.18
142,37,15.556442244006,1_12,1.18
143,42,17.224591701180383,1_12,1.18
144,7,7.083884059110353,12_1,1.5
145,12,13.074913999475015,12_1,1.5
146,17,19.321463599777683,12_1,1.5
147,22,24.933268296673457,12_1,1.5
148,27,30.609122476312432,12_1,1.5
149,32,36.67880613288423,12_1,1.5
150,37,42.72030644125017,12_1,1.5
151,42,49.04381807038481,12_1,1.5
152,7,7.320625976320959,6_2,1.5
153,12,13.392456700658633,6_2,1.5
154,17,19.20313752070056,6_2,1.5
155,22,25.333401937438406,6_2,1.5
156,27,30.443087474616224,6_2,1.5
157,32,36.74267862428312,6_2,1.5
158,37,41.57601515061413,6_2,1.5
159,42,48.52894485110656,6_2,1.5
160,7,7.213990751730764,4_3,1.5
161,12,13.420764905200052,4_3,1.5
162,17,23.012859459973356,4_3,1.5
163,22,28.309007111714486,4_3,1.5
164,27,32.92106177645853,4_3,1.5
165,32,41.907062303528285,4_3,1.5
166,37,49.56274478234533,4_3,1.5
167,42,51.43985727367169,4_3,1.5
168,7,7.720781824656439,3_4,1.5
169,12,14.05919749736516,3_4,1.5
170,17,20.194371969094348,3_4,1.5
171,22,26.654989276029713,3_4,1.5
172,27,31.663257567916233,3_4,1.5
173,32,38.640786433553465,3_4,1.5
174,37,45.08657382980651,3_4,1.5
175,42,51.188604492805155,3_4,1.5
176,7,7.489270514588067,2_6,1.5
177,12,13.57824645731445,2_6,1.5
178,17,21.86864074777716,2_6,1.5
179,22,27.7617759438026,2_6,1.5
180,27,32.66321005585117,2_6,1.5
181,32,40.970020966780346,2_6,1.5
182,37,46.82562468333974,2_6,1.5
183,42,51.13371547970702,2_6,1.5
184,7,7.56091176449636,1_12,1.5
185,12,14.06355481742051,1_12,1.5
186,17,20.96415342893567,1_12,1.5
187,22,27.795465757501017,1_12,1.5
188,27,33.754589158589184,1_12,1.5
189,32,41.39231808370858,1_12,1.5
190,37,47.966008485647905,1_12,1.5
191,42,51.12149091371178,1_12,1.5
192,7,15.104685923360467,12_1,2.0
193,12,28.56608370036514,12_1,2.0
194,17,43.34477825194734,12_1,2.0
195,22,56.15383444298406,12_1,2.0
196,27,67.940676913875,12_1,2.0
197,32,80.02729483604868,12_1,2.0
198,37,94.34163687109096,12_1,2.0
199,42,106.23201996866024,12_1,2.0
200,7,16.535062899063508,6_2,2.0
201,12,30.34638018005214,6_2,2.0
202,17,42.900714727864255,6_2,2.0
203,22,58.84962812684852,6_2,2.0
204,27,67.0622719001841,6_2,2.0
205,32,81.64279744473345,6_2,2.0
206,37,90.49767987605874,6_2,2.0
207,42,105.36330598911462,6_2,2.0
208,7,16.010417819522104,4_3,2.0
209,12,29.782075396834628,4_3,2.0
210,17,55.81367285413744,4_3,2.0
211,22,62.96624861663832,4_3,2.0
212,27,74.08225814801041,4_3,2.0
213,32,97.54420550143844,4_3,2.0
214,37,108.6743626151947,4_3,2.0
215,42,113.25969402670088,4_3,2.0
216,7,16.91757317711871,3_4,2.0
217,12,31.154658719791712,3_4,2.0
218,17,45.022638569652685,3_4,2.0
219,22,57.758363768610316,3_4,2.0
220,27,66.68908608299598,3_4,2.0
221,32,81.896726041624,3_4,2.0
222,37,100.83113312364777,3_4,2.0
223,42,112.43083444104857,3_4,2.0
224,7,16.09948360742606,2_6,2.0
225,12,28.960998857554053,2_6,2.0
226,17,50.08674210922411,2_6,2.0
227,22,60.937173452325084,2_6,2.0
228,27,69.37158359068599,2_6,2.0
229,32,92.65691230558528,2_6,2.0
230,37,106.37258576742917,2_6,2.0
231,42,105.77158397765501,2_6,2.0
232,7,16.42594609908031,1_12,2.0
233,12,30.156418025237258,1_12,2.0
234,17,46.68907428774571,1_12,2.0
235,22,63.45930253459534,1_12,2.0
236,27,75.45893736604974,1_12,2.0
237,32,90.23346588448295,1_12,2.0
238,37,101.07110890033209,1_12,2.0
239,42,110.68512673408841,1_12,2.0
