,rank,precision,generator_name
0,10,6.081537748254888,big_gauss
1,15,9.95750471442182,big_gauss
2,20,10.715650141377003,big_gauss
3,27,18.03289516509821,big_gauss
4,35,24.14122611833769,big_gauss
5,43,26.33917215652128,big_gauss
6,50,30.827057275267233,big_gauss
7,10,5.396898753165673,big_radem
8,15,8.806544224758941,big_radem
9,20,10.97269635600788,big_radem
10,27,18.163985008948792,big_radem
11,35,19.251083962275917,big_radem
12,43,29.363461112035182,big_radem
13,50,32.43928573459093,big_radem
14,10,4.940284688201565,gauss_gauss
15,15,8.06586823666863,gauss_gauss
16,20,10.849563164813311,gauss_gauss
17,27,17.349268519278112,gauss_gauss
18,35,22.618035069165714,gauss_gauss
19,43,28.21029233583686,gauss_gauss
20,50,32.147769028212835,gauss_gauss
21,10,5.368490878454006,gauss_radem
22,15,8.22556174625091,gauss_radem
23,20,12.2926742935428,gauss_radem
24,27,14.953327506019173,gauss_radem
25,35,19.561269830812968,gauss_radem
26,43,25.587992230616365,gauss_radem
27,50,36.80585320974304,gauss_radem
28,10,5.907517703971528,radem_radem
29,15,7.813466223243611,radem_radem
30,20,13.85066369760032,radem_radem
31,27,19.624933231019494,radem_radem
32,35,20.079436371716326,radem_radem
33,43,33.7730604786004,radem_radem
34,50,32.400943636842975,radem_radem
