,rank,precision,generator_name
0,10,4.357357687757267,big_gauss
1,15,5.337957833271873,big_gauss
2,20,6.130187843543998,big_gauss
3,27,7.336163510848766,big_gauss
4,35,8.27680846327456,big_gauss
5,43,8.987563434796929,big_gauss
6,50,11.550769528135747,big_gauss
7,10,4.379094490346822,big_radem
8,15,5.354159369108058,big_radem
9,20,6.184753167478229,big_radem
10,27,7.2017244284203645,big_radem
11,35,8.154088712236495,big_radem
12,43,9.260100523425987,big_radem
13,50,11.588870198958595,big_radem
14,10,4.360885482244886,gauss_gauss
15,15,5.247809877566931,gauss_gauss
16,20,6.133844961002014,gauss_gauss
17,27,7.225251160763788,gauss_gauss
18,35,8.187620940154584,gauss_gauss
19,43,9.31258991866578,gauss_gauss
20,50,11.59360625077798,gauss_gauss
21,10,4.341231935557385,gauss_radem
22,15,5.383931187707956,gauss_radem
23,20,6.243628406757811,gauss_radem
24,27,7.07299237875781,gauss_radem
25,35,8.111895543839395,gauss_radem
26,43,9.146340844554112,gauss_radem
27,50,11.696755686475196,gauss_radem
28,10,4.3875208422545375,radem_radem
29,15,5.247831964014036,radem_radem
30,20,6.288471855753158,radem_radem
31,27,7.283154666338231,radem_radem
32,35,8.20165951525558,radem_radem
33,43,9.224908697448834,radem_radem
34,50,11.670396536990824,radem_radem
