,rank,precision,generator_name,base,row_size
0,20,0.1851289711498302,big_gauss,1.01,70
1,27,0.12002142461661124,big_gauss,1.01,70
2,33,0.0818064992495492,big_gauss,1.01,70
3,40,0.09651428270965465,big_gauss,1.01,70
4,47,0.0985311835877542,big_gauss,1.01,70
5,53,0.07775190244718004,big_gauss,1.01,70
6,60,0.04302022919605899,big_gauss,1.01,70
7,20,0.17938656724271917,gauss_gauss,1.01,70
8,27,0.1231825895633898,gauss_gauss,1.01,70
9,33,0.08654519325676076,gauss_gauss,1.01,70
10,40,0.09743029022488067,gauss_gauss,1.01,70
11,47,0.1003740456322648,gauss_gauss,1.01,70
12,53,0.07700030624633045,gauss_gauss,1.01,70
13,60,0.03979958087512386,gauss_gauss,1.01,70
14,20,0.2037995217811825,big_gauss,1.01,140
15,27,0.13643292021990922,big_gauss,1.01,140
16,33,0.10962803270281442,big_gauss,1.01,140
17,40,0.08962306731364406,big_gauss,1.01,140
18,47,0.07370675829156195,big_gauss,1.01,140
19,53,0.056932718009596345,big_gauss,1.01,140
20,60,0.05088553818013406,big_gauss,1.01,140
21,20,0.18650565386631,gauss_gauss,1.01,140
22,27,0.1580994148179371,gauss_gauss,1.01,140
23,33,0.13328687136552517,gauss_gauss,1.01,140
24,40,0.10479358051967276,gauss_gauss,1.01,140
25,47,0.09767231299257641,gauss_gauss,1.01,140
26,53,0.09227681969823293,gauss_gauss,1.01,140
27,60,0.08874179790537182,gauss_gauss,1.01,140
28,20,0.2154567424551971,big_gauss,1.01,210
29,27,0.12823253879153118,big_gauss,1.01,210
30,33,0.09256129360486313,big_gauss,1.01,210
31,40,0.06165645903443511,big_gauss,1.01,210
32,47,0.041151086721457585,big_gauss,1.01,210
33,53,0.031248489737707736,big_gauss,1.01,210
34,60,0.02250930110907212,big_gauss,1.01,210
35,20,0.24954333424553515,gauss_gauss,1.01,210
36,27,0.17836377997595906,gauss_gauss,1.01,210
37,33,0.13586748889386857,gauss_gauss,1.01,210
38,40,0.10519297496660962,gauss_gauss,1.01,210
39,47,0.08628427064204224,gauss_gauss,1.01,210
40,53,0.07426003058069905,gauss_gauss,1.01,210
41,60,0.062594272769628,gauss_gauss,1.01,210
42,20,0.0680646557184778,big_gauss,1.01,280
43,27,0.05294812392686599,big_gauss,1.01,280
44,33,0.03809890992478776,big_gauss,1.01,280
45,40,0.031079344118348316,big_gauss,1.01,280
46,47,0.02388798930280655,big_gauss,1.01,280
47,53,0.020002747117932578,big_gauss,1.01,280
48,60,0.016573974970445302,big_gauss,1.01,280
49,20,0.08507046071741671,gauss_gauss,1.01,280
50,27,0.06944735884781664,gauss_gauss,1.01,280
51,33,0.06424565447765715,gauss_gauss,1.01,280
52,40,0.057364014031735404,gauss_gauss,1.01,280
53,47,0.05426563405717863,gauss_gauss,1.01,280
54,53,0.0529324288551277,gauss_gauss,1.01,280
55,60,0.054355042782855106,gauss_gauss,1.01,280
56,20,0.17454184233930733,big_gauss,1.01,350
57,27,0.1241352466393751,big_gauss,1.01,350
58,33,0.09925217473693224,big_gauss,1.01,350
59,40,0.07198723849320174,big_gauss,1.01,350
60,47,0.0575693683296112,big_gauss,1.01,350
61,53,0.04473416016408199,big_gauss,1.01,350
62,60,0.036616145026214623,big_gauss,1.01,350
63,20,0.19868042208704248,gauss_gauss,1.01,350
64,27,0.16505009947471525,gauss_gauss,1.01,350
65,33,0.14424771046361073,gauss_gauss,1.01,350
66,40,0.12425505796110037,gauss_gauss,1.01,350
67,47,0.11491884905930563,gauss_gauss,1.01,350
68,53,0.10410658538102321,gauss_gauss,1.01,350
69,60,0.09666441804024796,gauss_gauss,1.01,350
70,20,0.030147408862452825,big_gauss,1.05,70
71,27,0.017994693471496487,big_gauss,1.05,70
72,33,0.017043336061937635,big_gauss,1.05,70
73,40,0.014258277432799556,big_gauss,1.05,70
74,47,0.00790354742467257,big_gauss,1.05,70
75,53,0.005307667640543553,big_gauss,1.05,70
76,60,0.0026292507591724333,big_gauss,1.05,70
77,20,0.029536188823953716,gauss_gauss,1.05,70
78,27,0.018444547869702083,gauss_gauss,1.05,70
79,33,0.01819506655331812,gauss_gauss,1.05,70
80,40,0.01470481349852947,gauss_gauss,1.05,70
81,47,0.008090693516991074,gauss_gauss,1.05,70
82,53,0.005096544255903535,gauss_gauss,1.05,70
83,60,0.00243876963084457,gauss_gauss,1.05,70
84,20,0.09366394870516788,big_gauss,1.05,140
85,27,0.028313207479305127,big_gauss,1.05,140
86,33,0.014086136124760245,big_gauss,1.05,140
87,40,0.009747653534025246,big_gauss,1.05,140
88,47,0.004970948550065388,big_gauss,1.05,140
89,53,0.0026345032154944472,big_gauss,1.05,140
90,60,0.0011254379739663166,big_gauss,1.05,140
91,20,0.0970357106066461,gauss_gauss,1.05,140
92,27,0.03066423635089873,gauss_gauss,1.05,140
93,33,0.01487510984826385,gauss_gauss,1.05,140
94,40,0.009268452039655425,gauss_gauss,1.05,140
95,47,0.0049690017251389365,gauss_gauss,1.05,140
96,53,0.0030093715133192433,gauss_gauss,1.05,140
97,60,0.0015591433421071731,gauss_gauss,1.05,140
98,20,0.06080848274803751,big_gauss,1.05,210
99,27,0.019534192542265138,big_gauss,1.05,210
100,33,0.011467858036257213,big_gauss,1.05,210
101,40,0.005810643644913825,big_gauss,1.05,210
102,47,0.002288433765299333,big_gauss,1.05,210
103,53,0.0011880435138993696,big_gauss,1.05,210
104,60,0.0005172299189034498,big_gauss,1.05,210
105,20,0.06547609425507847,gauss_gauss,1.05,210
106,27,0.02297166863493588,gauss_gauss,1.05,210
107,33,0.011792436345693347,gauss_gauss,1.05,210
108,40,0.006532167005365036,gauss_gauss,1.05,210
109,47,0.0025660300696842423,gauss_gauss,1.05,210
110,53,0.0014383355417099473,gauss_gauss,1.05,210
111,60,0.0007800593831042193,gauss_gauss,1.05,210
112,20,0.02053395301576585,big_gauss,1.05,280
113,27,0.010186225112836381,big_gauss,1.05,280
114,33,0.004661016905942937,big_gauss,1.05,280
115,40,0.002741622503681297,big_gauss,1.05,280
116,47,0.00134127113164924,big_gauss,1.05,280
117,53,0.000830175068351323,big_gauss,1.05,280
118,60,0.000399608485828926,big_gauss,1.05,280
119,20,0.02048479032308554,gauss_gauss,1.05,280
120,27,0.00993074469938175,gauss_gauss,1.05,280
121,33,0.0049673079705768374,gauss_gauss,1.05,280
122,40,0.0029749682094454212,gauss_gauss,1.05,280
123,47,0.0015533343738980978,gauss_gauss,1.05,280
124,53,0.0010493369631500253,gauss_gauss,1.05,280
125,60,0.0006758722481666605,gauss_gauss,1.05,280
126,20,0.06558312148842158,big_gauss,1.05,350
127,27,0.04560052947575163,big_gauss,1.05,350
128,33,0.03153134539027071,big_gauss,1.05,350
129,40,0.014631398102688141,big_gauss,1.05,350
130,47,0.00622205959389641,big_gauss,1.05,350
131,53,0.0026031480464351704,big_gauss,1.05,350
132,60,0.0011146487368758698,big_gauss,1.05,350
133,20,0.06603859252682452,gauss_gauss,1.05,350
134,27,0.04734253064832894,gauss_gauss,1.05,350
135,33,0.030071055631279354,gauss_gauss,1.05,350
136,40,0.015452234225064048,gauss_gauss,1.05,350
137,47,0.006567359091154171,gauss_gauss,1.05,350
138,53,0.003095447977659306,gauss_gauss,1.05,350
139,60,0.0014973427302233115,gauss_gauss,1.05,350
140,20,0.003867170528516046,big_gauss,1.18,70
141,27,0.0006547464293431578,big_gauss,1.18,70
142,33,0.00016925637058144344,big_gauss,1.18,70
143,40,1.6523198774683888e-05,big_gauss,1.18,70
144,47,2.3924026933108506e-06,big_gauss,1.18,70
145,53,2.5883555751209165e-07,big_gauss,1.18,70
146,60,8.770121358399599e-08,big_gauss,1.18,70
147,20,0.004060981596456439,gauss_gauss,1.18,70
148,27,0.0005985169893577399,gauss_gauss,1.18,70
149,33,0.00020669898334838268,gauss_gauss,1.18,70
150,40,1.6555460376264668e-05,gauss_gauss,1.18,70
151,47,2.2080797823981858e-06,gauss_gauss,1.18,70
152,53,2.714107090554222e-07,gauss_gauss,1.18,70
153,60,8.862265950740923e-08,gauss_gauss,1.18,70
154,20,0.0032075508574554313,big_gauss,1.18,140
155,27,0.0005993789693851641,big_gauss,1.18,140
156,33,4.891507451567779e-05,big_gauss,1.18,140
157,40,2.8980712324748205e-06,big_gauss,1.18,140
158,47,4.2108473537621766e-07,big_gauss,1.18,140
159,53,1.8850917978136245e-07,big_gauss,1.18,140
160,60,3.3896483540504045e-08,big_gauss,1.18,140
161,20,0.0036832998887105428,gauss_gauss,1.18,140
162,27,0.0006111423894747284,gauss_gauss,1.18,140
163,33,5.448426740955551e-05,gauss_gauss,1.18,140
164,40,2.9935206495403347e-06,gauss_gauss,1.18,140
165,47,3.731475661061228e-07,gauss_gauss,1.18,140
166,53,1.677643008898376e-07,gauss_gauss,1.18,140
167,60,3.644955956531532e-08,gauss_gauss,1.18,140
168,20,0.005820451130978874,big_gauss,1.18,210
169,27,0.00016302812235348117,big_gauss,1.18,210
170,33,4.208443007206664e-05,big_gauss,1.18,210
171,40,3.560598253708134e-06,big_gauss,1.18,210
172,47,1.667134177965042e-06,big_gauss,1.18,210
173,53,2.4032302415690527e-07,big_gauss,1.18,210
174,60,2.1436515970699042e-08,big_gauss,1.18,210
175,20,0.0055756803227396635,gauss_gauss,1.18,210
176,27,0.00016483122538596284,gauss_gauss,1.18,210
177,33,4.049418779401449e-05,gauss_gauss,1.18,210
178,40,4.0697535119950266e-06,gauss_gauss,1.18,210
179,47,1.7748314332405738e-06,gauss_gauss,1.18,210
180,53,2.3410644958617518e-07,gauss_gauss,1.18,210
181,60,1.9982516623798217e-08,gauss_gauss,1.18,210
182,20,0.0010803033189933841,big_gauss,1.18,280
183,27,0.0005998596568452712,big_gauss,1.18,280
184,33,3.254512538587094e-05,big_gauss,1.18,280
185,40,3.7203523055520254e-06,big_gauss,1.18,280
186,47,1.0109519959504417e-06,big_gauss,1.18,280
187,53,3.043705064098078e-07,big_gauss,1.18,280
188,60,1.271719358766177e-08,big_gauss,1.18,280
189,20,0.0011866648771439337,gauss_gauss,1.18,280
190,27,0.0005906908940864147,gauss_gauss,1.18,280
191,33,3.2370913731325036e-05,gauss_gauss,1.18,280
192,40,4.053719599784399e-06,gauss_gauss,1.18,280
193,47,1.1040637649380648e-06,gauss_gauss,1.18,280
194,53,3.081589351971933e-07,gauss_gauss,1.18,280
195,60,1.427043231681136e-08,gauss_gauss,1.18,280
196,20,0.0022505524415977083,big_gauss,1.18,350
197,27,0.0006146132674868668,big_gauss,1.18,350
198,33,0.00025308987963070705,big_gauss,1.18,350
199,40,5.459088598583768e-06,big_gauss,1.18,350
200,47,8.761220964990292e-07,big_gauss,1.18,350
201,53,1.889906183678628e-07,big_gauss,1.18,350
202,60,6.507807180906439e-08,big_gauss,1.18,350
203,20,0.002212910552327493,gauss_gauss,1.18,350
204,27,0.0006081584789818132,gauss_gauss,1.18,350
205,33,0.00021673102936272615,gauss_gauss,1.18,350
