,rank,precision,generator_name,base
0,7,1.1745518654419202e-05,12_1,1.01
1,12,2.3874961544232473e-05,12_1,1.01
2,17,5.0187364150331206e-05,12_1,1.01
3,22,4.926315903645698e-05,12_1,1.01
4,27,8.758639357704655e-05,12_1,1.01
5,32,6.716893029217502e-05,12_1,1.01
6,37,0.00016631844813497907,12_1,1.01
7,42,0.00033296295986572885,12_1,1.01
8,7,9.357328011938597e-06,6_2,1.01
9,12,2.4110083904663668e-05,6_2,1.01
10,17,2.3368938549590304e-05,6_2,1.01
11,22,3.9699505200146725e-05,6_2,1.01
12,27,7.467243366879927e-05,6_2,1.01
13,32,0.0001542190385597846,6_2,1.01
14,37,7.189733594648324e-05,6_2,1.01
15,42,0.0002508843549934279,6_2,1.01
16,7,2.0352907958285462e-05,4_3,1.01
17,12,3.91393484655282e-05,4_3,1.01
18,17,9.383006499639516e-05,4_3,1.01
19,22,0.00019348686844623732,4_3,1.01
20,27,0.00029569512369658716,4_3,1.01
21,32,0.00045116835423090725,4_3,1.01
22,37,0.0008001147794760111,4_3,1.01
23,42,0.00046804383505673314,4_3,1.01
24,7,8.773999801604583e-06,3_4,1.01
25,12,1.851282423102255e-05,3_4,1.01
26,17,0.00010672564656286264,3_4,1.01
27,22,4.584270815698111e-05,3_4,1.01
28,27,0.00012084201196633553,3_4,1.01
29,32,0.0002754173679873017,3_4,1.01
30,37,0.00022007629104781062,3_4,1.01
31,42,0.0003538352041003049,3_4,1.01
32,7,3.28911469045922e-05,2_6,1.01
33,12,8.040916647050593e-05,2_6,1.01
34,17,7.176878893875999e-05,2_6,1.01
35,22,0.00012247625578420723,2_6,1.01
36,27,0.00017777855598427608,2_6,1.01
37,32,0.00011746732862748854,2_6,1.01
38,37,0.0004328484936588106,2_6,1.01
39,42,0.0003477116166392628,2_6,1.01
40,7,2.1436019395250698e-05,1_12,1.01
41,12,5.164833660715062e-05,1_12,1.01
42,17,0.00011964034795527584,1_12,1.01
43,22,0.00014690819026890004,1_12,1.01
44,27,0.00013542792618903945,1_12,1.01
45,32,0.00023068849842477774,1_12,1.01
46,37,0.0002408465616866149,1_12,1.01
47,42,0.0004476410205085199,1_12,1.01
48,7,0.0008989525148320538,12_1,1.05
49,12,0.0014096212505717103,12_1,1.05
50,17,0.004019284276787877,12_1,1.05
51,22,0.008599409577216232,12_1,1.05
52,27,0.014654405834639218,12_1,1.05
53,32,0.02639049411523194,12_1,1.05
54,37,0.021185078531260067,12_1,1.05
55,42,0.09806138541490773,12_1,1.05
56,7,0.00010746276438603516,6_2,1.05
57,12,0.0016758124404683758,6_2,1.05
58,17,0.0022007550267503792,6_2,1.05
59,22,0.00987911498991527,6_2,1.05
60,27,0.026991604073219926,6_2,1.05
61,32,0.03333654862654562,6_2,1.05
62,37,0.036774623743785304,6_2,1.05
63,42,0.049151675870718795,6_2,1.05
64,7,0.0004475519043348456,4_3,1.05
65,12,0.006021598751351556,4_3,1.05
66,17,0.021608405206923857,4_3,1.05
67,22,0.009752823689434,4_3,1.05
68,27,0.08883888861221119,4_3,1.05
69,32,0.10763559415070659,4_3,1.05
70,37,0.2259630310443434,4_3,1.05
71,42,0.1995808506646482,4_3,1.05
72,7,0.00068001099807868,3_4,1.05
73,12,0.0022644053091787943,3_4,1.05
74,17,0.012443249647266914,3_4,1.05
75,22,0.00999227424255876,3_4,1.05
76,27,0.03017020834784128,3_4,1.05
77,32,0.024486676653946746,3_4,1.05
78,37,0.02580225777232279,3_4,1.05
79,42,0.07344696431943704,3_4,1.05
80,7,0.0007378350605958138,2_6,1.05
81,12,0.004383070504122547,2_6,1.05
82,17,0.008860338892852456,2_6,1.05
83,22,0.01913909584860566,2_6,1.05
84,27,0.04920755786521071,2_6,1.05
85,32,0.047083479819694844,2_6,1.05
86,37,0.03779135869251662,2_6,1.05
87,42,0.09281422701212727,2_6,1.05
88,7,0.0014745981653057675,1_12,1.05
89,12,0.0009803051525115176,1_12,1.05
90,17,0.010455719782652383,1_12,1.05
91,22,0.020169520686366182,1_12,1.05
92,27,0.029025471686416733,1_12,1.05
93,32,0.016208425689350183,1_12,1.05
94,37,0.06729152136229738,1_12,1.05
95,42,0.06035782723524025,1_12,1.05
96,7,0.060876332660632325,12_1,1.18
97,12,1.5529493228076146,12_1,1.18
98,17,1.9342627358894984,12_1,1.18
99,22,2.1411880070133438,12_1,1.18
100,27,5.757545696581323,12_1,1.18
101,32,8.380526226407605,12_1,1.18
102,37,41.76106414366002,12_1,1.18
103,42,31.35872598393262,12_1,1.18
104,7,0.07676623425573818,6_2,1.18
105,12,0.44179239362699774,6_2,1.18
106,17,1.0620049496515374,6_2,1.18
107,22,0.32412311575446295,6_2,1.18
108,27,9.536379842578045,6_2,1.18
109,32,18.56758895871798,6_2,1.18
110,37,14.409936797719642,6_2,1.18
111,42,12.530461915756758,6_2,1.18
112,7,0.07747222674588278,4_3,1.18
113,12,0.7554843646401619,4_3,1.18
114,17,5.6902859125757015,4_3,1.18
115,22,4.826373935263069,4_3,1.18
116,27,7.991036291025779,4_3,1.18
117,32,10.156412482855886,4_3,1.18
118,37,11.703212632696491,4_3,1.18
119,42,35.55058822269197,4_3,1.18
120,7,0.12474092773202312,3_4,1.18
121,12,1.0911654513628217,3_4,1.18
122,17,2.4850087896614164,3_4,1.18
123,22,4.183585074879589,3_4,1.18
124,27,5.752315682844289,3_4,1.18
125,32,2.305585019997621,3_4,1.18
126,37,1.225563905379564,3_4,1.18
127,42,64.53705544318186,3_4,1.18
