,rank,precision,generator_name,base
0,7,1.0707874736632013,12_1,1.01
1,12,1.1243553503189176,12_1,1.01
2,17,1.1784068690313285,12_1,1.01
3,22,1.2343991693682679,12_1,1.01
4,27,1.2943850096043867,12_1,1.01
5,32,1.3543641044285166,12_1,1.01
6,37,1.4175638089849194,12_1,1.01
7,42,1.4808285587945893,12_1,1.01
8,7,1.071839079492489,6_2,1.01
9,12,1.1253939019059247,6_2,1.01
10,17,1.179363610802334,6_2,1.01
11,22,1.238884682223439,6_2,1.01
12,27,1.29173354507378,6_2,1.01
13,32,1.3611588819459914,6_2,1.01
14,37,1.408979064714122,6_2,1.01
15,42,1.4788204043187985,6_2,1.01
16,7,1.0789746003467307,4_3,1.01
17,12,1.1254014174773923,4_3,1.01
18,17,1.1829207446417045,4_3,1.01
19,22,1.2400465945788521,4_3,1.01
20,27,1.2923623905580826,4_3,1.01
21,32,1.3539791853861263,4_3,1.01
22,37,1.41387117759094,4_3,1.01
23,42,1.479122785433879,4_3,1.01
24,7,1.0717584100476993,3_4,1.01
25,12,1.1252069378379346,3_4,1.01
26,17,1.1803664342974032,3_4,1.01
27,22,1.2382902098740305,3_4,1.01
28,27,1.3010228491498255,3_4,1.01
29,32,1.3495204774576555,3_4,1.01
30,37,1.4136461565971732,3_4,1.01
31,42,1.46995713491549,3_4,1.01
32,7,1.0769909712574628,2_6,1.01
33,12,1.1307466997437168,2_6,1.01
34,17,1.1806388299151243,2_6,1.01
35,22,1.241216300687688,2_6,1.01
36,27,1.2955279126551527,2_6,1.01
37,32,1.356480064667064,2_6,1.01
38,37,1.414978316065051,2_6,1.01
39,42,1.4836993880699665,2_6,1.01
40,7,1.0728275800285236,1_12,1.01
41,12,1.1258102017628788,1_12,1.01
42,17,1.179481715878846,1_12,1.01
43,22,1.2481694908816372,1_12,1.01
44,27,1.2984458800462353,1_12,1.01
45,32,1.3528849604757816,1_12,1.01
46,37,1.4157519334320705,1_12,1.01
47,42,1.482722414067282,1_12,1.01
48,7,1.3724197472877,12_1,1.05
49,12,1.716350517349563,12_1,1.05
50,17,2.0486447901980234,12_1,1.05
51,22,2.457668729620804,12_1,1.05
52,27,2.8280757040849265,12_1,1.05
53,32,3.3154091697517516,12_1,1.05
54,37,3.8419199225784473,12_1,1.05
55,42,4.2567223749787235,12_1,1.05
56,7,1.3881575073062664,6_2,1.05
57,12,1.7086914544617873,6_2,1.05
58,17,2.078433493340305,6_2,1.05
59,22,2.5122234435388444,6_2,1.05
60,27,2.8650450777236527,6_2,1.05
61,32,3.4261418766980407,6_2,1.05
62,37,3.706728762177003,6_2,1.05
63,42,4.191913608686027,6_2,1.05
64,7,1.432712891873988,4_3,1.05
65,12,1.7599610580513132,4_3,1.05
66,17,2.176187907978886,4_3,1.05
67,22,2.5232956298166407,4_3,1.05
68,27,2.958966113567553,4_3,1.05
69,32,3.476560298739998,4_3,1.05
70,37,3.877958477366363,4_3,1.05
71,42,4.498471436873084,4_3,1.05
72,7,1.413230476318366,3_4,1.05
73,12,1.7216909086561434,3_4,1.05
74,17,2.1554585092362517,3_4,1.05
75,22,2.5615154166282195,3_4,1.05
76,27,2.9707717653464245,3_4,1.05
77,32,3.3359099324487573,3_4,1.05
78,37,3.9221426157608463,3_4,1.05
79,42,4.297879332462108,3_4,1.05
80,7,1.4218575298210687,2_6,1.05
81,12,1.7975042735330795,2_6,1.05
82,17,2.135085730706857,2_6,1.05
83,22,2.547033873652931,2_6,1.05
84,27,3.036127989632316,2_6,1.05
85,32,3.415838025892903,2_6,1.05
86,37,3.9087065648688766,2_6,1.05
87,42,4.438521485800976,2_6,1.05
88,7,1.424728046189531,1_12,1.05
